MICROPHONE,ORIENTATION,SOUND,ANGLE,ANSWER,PERSON
AMBEO,AZIMUTH,TRUMPET,180,-70,4
AMBEO,AZIMUTH,TRUMPET,-30,95,4
AMBEO,ELEVATION,DUCK,-15,40,4
AMBEO,ELEVATION,DUCK,90,85,4
AMBEO,ELEVATION,DUCK,-45,115,4
AMBEO,ELEVATION,DUCK,-150,0,4
AMBEO,ELEVATION,DUCK,105,10,4
AMBEO,ELEVATION,DUCK,-135,-160,4
AMBEO,ELEVATION,DUCK,30,-10,4
AMBEO,ELEVATION,DUCK,135,165,4
AMBEO,AZIMUTH,NOISE,0,0,4
AMBEO,AZIMUTH,NOISE,90,130,4
AMBEO,AZIMUTH,NOISE,-90,170,4
AMBEO,AZIMUTH,NOISE,150,-100,4
AMBEO,AZIMUTH,NOISE,30,90,4
AMBEO,AZIMUTH,NOISE,-150,95,4
AMBEO,AZIMUTH,NOISE,180,-155,4
AMBEO,AZIMUTH,NOISE,-30,-120,4
AMBEO,ELEVATION,NOISE,-15,20,4
AMBEO,ELEVATION,NOISE,90,40,4
AMBEO,ELEVATION,NOISE,-45,140,4
AMBEO,ELEVATION,NOISE,-150,-160,4
AMBEO,ELEVATION,NOISE,105,155,4
AMBEO,ELEVATION,NOISE,-135,-150,4
AMBEO,ELEVATION,NOISE,30,180,4
AMBEO,ELEVATION,NOISE,135,170,4
AMBEO,AZIMUTH,ANGRY,0,115,4
AMBEO,AZIMUTH,ANGRY,90,125,4
AMBEO,AZIMUTH,ANGRY,-90,134,4
AMBEO,AZIMUTH,ANGRY,150,-138,4
AMBEO,AZIMUTH,ANGRY,30,90,4
AMBEO,AZIMUTH,ANGRY,-150,90,4
AMBEO,AZIMUTH,ANGRY,180,-50,4
AMBEO,AZIMUTH,ANGRY,-30,-90,4
AMBEO,ELEVATION,SWEET,-15,18,4
AMBEO,ELEVATION,SWEET,90,35,4
